DATE,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
19082022,20MICRONS,EQ, 19-Aug-2022,105.0,105.5,106.45,101.0, 102.15,102.25,103.24,259540,267.96,4804,119325.0,45.98,123
19082022,21STCENMGM,EQ, 19-Aug-2022,27.0,27.5,27.5,27.5, 27.50,27.5,27.5,1040,0.29,14,1040.0,100.0,0
19082022,3IINFOLTD,EQ, 19-Aug-2022,43.85,44.45,48.5,44.0, 45.90,45.7,46.69,2056328,960.08,12792,806333.0,39.21,376
19082022,3MINDIA,EQ, 19-Aug-2022,23257.4,23450.0,23450.0,22710.05, 22859.80,22856.45,23144.52,2660,615.64,1334,1276.0,47.97,295
19082022,3PLAND,EQ, 19-Aug-2022,15.9,17.0,17.45,15.9, 17.45,17.15,16.76,30197,5.06,360,24516.0,81.19,4
19082022,5PAISA,EQ, 19-Aug-2022,281.65,286.0,290.35,280.05, 281.25,281.5,284.36,39001,110.9,1206,19671.0,50.44,55
19082022,63MOONS,EQ, 19-Aug-2022,191.15,192.0,194.95,188.5, 188.50,189.75,192.19,121054,232.66,1352,95261.0,78.69,183
19082022,A2ZINFRA,EQ, 19-Aug-2022,13.15,13.6,13.6,12.55, 12.80,12.85,12.89,300168,38.7,870,216729.0,72.2,27
19082022,AAKASH,EQ, 19-Aug-2022,12.95,13.3,13.3,12.65, 12.80,12.8,12.94,111621,14.44,413,87784.0,78.64,11
19082022,AAREYDRUGS,EQ, 19-Aug-2022,35.0,35.0,36.5,34.25, 35.20,35.3,35.58,47272,16.82,529,29337.0,62.06,10
19082022,AARON,EQ, 19-Aug-2022,133.65,133.65,135.0,131.3, 132.00,132.3,133.03,4822,6.41,146,3646.0,75.61,4
19082022,AARTIDRUGS,EQ, 19-Aug-2022,461.35,461.55,463.8,441.2, 449.00,446.6,453.08,167147,757.31,9396,68555.0,41.01,310
19082022,AARTIIND,EQ, 19-Aug-2022,831.05,833.5,839.7,812.3, 813.90,815.0,826.32,490236,4050.92,20833,179284.0,36.57,1481
19082022,AARTISURF,EQ, 19-Aug-2022,765.5,773.25,773.25,740.0, 753.00,752.25,754.16,9905,74.7,1215,6026.0,60.84,45
19082022,AARVEEDEN,EQ, 19-Aug-2022,23.15,23.85,23.85,22.5, 22.75,22.9,23.13,8896,2.06,111,6211.0,69.82,1
19082022,AARVI,EQ, 19-Aug-2022,117.6,119.75,123.7,112.55, 114.30,113.55,117.46,26319,30.91,535,19825.0,75.33,23
19082022,AAVAS,EQ, 19-Aug-2022,2260.45,2254.0,2272.3,2210.65, 2261.00,2255.7,2231.53,95897,2139.97,8273,70015.0,73.01,1562
19082022,ABAN,EQ, 19-Aug-2022,46.25,47.0,48.9,47.0, 47.40,47.35,47.96,507400,243.34,4983,252901.0,49.84,121
19082022,ABB,EQ, 19-Aug-2022,2890.5,2903.95,2924.75,2813.5, 2884.85,2888.35,2871.85,335377,9631.54,25162,158110.0,47.14,4540
19082022,ABBOTINDIA,EQ, 19-Aug-2022,19008.15,19055.0,19110.65,18790.0, 18810.00,18820.8,18900.51,13805,2609.22,4738,4374.0,31.68,826
19082022,ABCAPITAL,EQ, 19-Aug-2022,112.5,112.7,113.75,110.7, 110.90,111.45,112.22,3108915,3488.93,19865,1101295.0,35.42,1235
19082022,ABFRL,EQ, 19-Aug-2022,289.3,290.8,290.8,281.45, 282.90,284.0,285.2,1379991,3935.69,20216,524421.0,38.0,1495
19082022,ABSLAMC,EQ, 19-Aug-2022,447.05,443.0,449.8,443.0, 447.20,446.85,447.07,69991,312.91,3129,30000.0,42.86,134
19082022,ABSLBANETF,EQ, 19-Aug-2022,39.64,39.99,39.99,38.85, 38.88,38.94,39.18,9824,3.85,272,5255.0,53.49,2
19082022,ABSLNN50ET,EQ, 19-Aug-2022,44.8,44.9,45.2,44.03, 44.28,44.32,44.33,181944,80.66,376,174647.0,95.99,77
19082022,ACC,EQ, 19-Aug-2022,2322.85,2330.1,2367.75,2271.95, 2339.00,2350.85,2345.39,822726,19296.13,50938,302344.0,36.75,7091
19082022,ACCELYA,EQ, 19-Aug-2022,1068.65,1074.0,1079.25,1027.0, 1050.00,1044.4,1047.49,13258,138.88,1772,8399.0,63.35,87
19082022,ACCURACY,EQ, 19-Aug-2022,208.25,209.0,209.0,203.45, 205.00,205.05,207.1,26608,55.11,325,21949.0,82.49,45
19082022,ACE,EQ, 19-Aug-2022,245.75,246.7,248.2,233.5, 235.00,235.5,239.41,372911,892.79,9441,171732.0,46.05,411
19082022,ACRYSIL,EQ, 19-Aug-2022,721.75,724.0,743.35,704.6, 709.00,710.15,722.1,274252,1980.37,14623,84128.0,30.68,607
19082022,ADANIENT,EQ, 19-Aug-2022,3153.65,3178.0,3258.9,3075.25, 3127.00,3130.2,3173.83,6109949,193919.51,229717,718746.0,11.76,22811
19082022,ADANIGREEN,EQ, 19-Aug-2022,2296.35,2315.0,2484.0,2315.0, 2422.00,2411.35,2424.61,7397150,179351.93,317964,1185639.0,16.03,28747
19082022,ADANIPORTS,EQ, 19-Aug-2022,833.05,837.25,883.9,833.95, 870.00,871.8,867.71,24506694,212648.16,318438,2811314.0,11.47,24394
19082022,ADANIPOWER,EQ, 19-Aug-2022,399.45,407.7,418.85,391.15, 410.65,411.95,411.3,34688719,142674.11,351074,10356729.0,29.86,42597
19082022,ADANITRANS,EQ, 19-Aug-2022,3599.55,3600.0,3694.0,3590.0, 3612.00,3635.25,3643.79,408096,14870.15,34912,73446.0,18.0,2676
